codprod,codmarca,codepto,codsec
12965,39,10002,10033
2809,1,10006,10011
2810,1,10006,10013
7571,2,1,10040
7565,20,1,10041
5106,4,10006,10011
4917,1,10006,10011
4918,1,10006,10013
11978,2,1,10040
6906,14,2,10043
6907,13,2,10043
7477,39,1,10040
7654,19,1,10041
7657,9,2,10045
7658,2,2,10043
7667,2,1,10042
7668,2,2,10043
7144,14,2,10045
7146,13,2,10043
7669,2,2,10043
7670,2,2,10043
7671,2,2,10043
7672,2,2,10043
7673,18,3,10046
7674,18,3,10046
7675,8,10006,10011
7676,8,10006,10011
7677,8,10006,10011
7678,2,1,10040
7679,2,1,10041
7680,2,1,10040
7681,2,1,10040
7682,2,1,10040
7683,2,1,10040
7684,2,1,10040
7685,2,1,10040
7686,2,1,10041
7687,8,10006,10011
7688,34,10006,10013
7689,2,2,10043
7690,2,1,10041
12874,1,1,10040
7691,2,1,10041
7692,2,1,10041
7693,5,10006,10011
7694,5,10006,10011
7695,5,10006,10011
7696,2,1,10040
7697,2,1,10041
7698,2,1,10040
7699,2,1,10040
7700,2,1,10041
7701,2,1,10040
7702,2,1,10040
7704,1,2,10043
7705,2,1,10040
7706,2,1,10041
7707,7,10006,10011
7708,2,1,10040
7709,2,1,10041
7710,2,1,10040
7715,2,2,10043
7716,2,1,10040
7717,2,1,10040
7718,2,1,10040
7719,2,1,10040
7720,2,1,10040
7721,2,1,10040
7722,2,1,10041
7154,4,2,10045
7155,4,10006,10011
7156,4,10006,10013
7535,11,2,10043
7543,2,1,10041
7544,39,1,10040
7545,20,1,10040
7553,20,1,10041
7559,1,2,10043
7561,4,3,10046
7562,8,10006,10011
7563,10,2,10045
7564,24,2,10043
7583,2,1,10040
7584,2,1,10040
7585,2,1,10040
7586,2,1,10040
7587,2,1,10040
7588,2,1,10040
7589,2,1,10040
7590,2,1,10040
7591,2,1,10041
7592,2,1,10041
7593,2,1,10042
7595,2,1,10042
7596,2,1,10041
7597,2,1,10042
7598,2,1,10041
7599,2,1,10041
7659,1,2,10043
7660,38,10006,10011
7724,2,1,10040
7725,2,1,10041
7723,2,1,10042
7731,2,1,10041
7732,2,1,10041
7733,2,1,10041
7734,24,1,10040
7735,2,1,10040
7736,2,1,10040
7737,2,1,10040
7738,2,1,10042
7739,2,1,10040
7740,2,1,10040
7741,2,1,10040
7742,2,1,10040
7743,19,1,10042
7744,36,10006,10013
7745,2,1,10040
7746,2,1,10040
7747,2,1,10041
12880,1,1,10040
7749,1,1,10040
7750,1,1,10040
7751,1,1,10040
7752,1,1,10040
7753,1,1,10040
7754,1,1,10040
7755,1,1,10040
7756,1,1,10040
7757,1,1,10040
7758,1,1,10040
7759,1,1,10040
7760,1,1,10040
7761,1,1,10040
7762,1,1,10040
7763,3,1,10041
7765,3,1,10041
7766,3,1,10041
7767,1,1,10040
7768,3,1,10040
7769,3,1,10041
7770,8,10006,10011
7771,2,1,10041
7773,12,3,10046
7774,4,3,10046
7775,5,10006,10011
4467,4,2,10045
4468,4,2,10045
4470,4,10006,10011
4476,1,2,10043
4477,1,10006,10011
4478,1,10006,10013
7600,2,1,10041
7601,2,1,10040
7602,2,1,10041
7604,2,1,10041
7605,2,1,10041
7606,2,1,10041
7607,2,1,10041
7608,2,1,10041
7655,37,10006,10013
7656,37,10006,10013
7776,5,10006,10011
7777,8,10006,10011
7778,1,1,10040
7779,3,1,10041
7780,3,1,10041
7781,3,1,10042
7782,3,1,10042
7783,3,1,10042
7784,3,1,10041
7785,3,1,10042
7786,1,1,10040
7787,3,1,10041
7789,1,1,10040
7790,1,2,10043
7791,2,1,10041
7792,2,1,10041
7793,1,1,10041
7794,1,1,10040
7795,1,2,10043
7796,2,1,10041
7797,1,1,10040
7798,1,1,10041
7799,1,1,10040
